Date&Time,shortDate
2018-02-27T12:08:00Z,2018-02-27
2018-02-27T08:59:00Z,2018-02-27
2018-02-19T17:23:00Z,2018-02-19
2018-02-19T17:22:00Z,2018-02-19
2018-02-18T18:28:00Z,2018-02-18
2018-02-18T16:15:00Z,2018-02-18
2018-02-18T15:17:00Z,2018-02-18
2018-02-18T15:16:00Z,2018-02-18
2018-02-18T14:17:00Z,2018-02-18
2018-02-18T14:03:00Z,2018-02-18
2018-02-18T13:42:00Z,2018-02-18
2018-02-18T12:13:00Z,2018-02-18
2018-02-18T12:05:00Z,2018-02-18
2018-02-18T11:55:00Z,2018-02-18
2018-02-18T11:52:00Z,2018-02-18
2018-02-18T11:45:00Z,2018-02-18
2018-02-18T11:28:00Z,2018-02-18
2018-02-18T08:52:00Z,2018-02-18
2018-02-17T15:51:00Z,2018-02-17
2018-02-17T14:51:00Z,2018-02-17
2018-02-17T13:21:00Z,2018-02-17
2018-01-14T16:41:00Z,2018-01-14
2018-01-14T16:40:00Z,2018-01-14
2017-12-25T07:51:00Z,2017-12-25
2017-12-24T16:46:00Z,2017-12-24
2017-11-28T09:45:00Z,2017-11-28
2017-11-24T10:25:00Z,2017-11-24
2017-11-08T21:04:00Z,2017-11-08
2017-11-07T12:35:00Z,2017-11-07
2017-10-24T14:42:00Z,2017-10-24
2017-10-24T14:20:00Z,2017-10-24
2017-09-29T09:27:00Z,2017-09-29
2017-09-29T09:26:00Z,2017-09-29
2017-09-29T09:25:00Z,2017-09-29
2017-09-22T17:25:00Z,2017-09-22
2017-09-14T07:17:00Z,2017-09-14
2017-09-13T08:48:00Z,2017-09-13
2017-08-22T11:47:00Z,2017-08-22
2017-08-22T11:07:00Z,2017-08-22
2017-08-07T22:08:00Z,2017-08-07
2017-08-07T21:09:00Z,2017-08-07
2017-08-01T09:26:00Z,2017-08-01
2017-06-04T18:04:00Z,2017-06-04
2017-05-22T04:22:00Z,2017-05-22
2017-05-22T04:16:00Z,2017-05-22
2017-05-18T14:06:00Z,2017-05-18
2017-05-17T17:41:00Z,2017-05-17
2017-05-17T17:07:00Z,2017-05-17
2017-05-17T17:01:00Z,2017-05-17
2017-05-15T16:11:00Z,2017-05-15
2017-05-04T18:11:00Z,2017-05-04
2017-04-14T08:33:00Z,2017-04-14
2017-04-13T12:58:00Z,2017-04-13
2017-04-07T07:10:00Z,2017-04-07
2017-04-02T14:26:00Z,2017-04-02
2017-04-02T14:17:00Z,2017-04-02
2017-04-02T13:22:00Z,2017-04-02
2017-04-02T12:20:00Z,2017-04-02
2017-04-02T12:06:00Z,2017-04-02
2017-03-25T13:46:00Z,2017-03-25
2017-03-24T19:11:00Z,2017-03-24
2017-03-22T05:17:00Z,2017-03-22
2017-03-21T22:25:00Z,2017-03-21
2017-03-21T19:04:00Z,2017-03-21
2017-03-21T17:46:00Z,2017-03-21
2017-03-21T17:42:00Z,2017-03-21
2017-03-21T17:25:00Z,2017-03-21
2017-03-21T17:15:00Z,2017-03-21
2017-03-21T17:15:00Z,2017-03-21
2017-03-21T16:12:00Z,2017-03-21
2017-03-21T16:08:00Z,2017-03-21
2017-03-15T11:06:00Z,2017-03-15
2017-03-15T11:05:00Z,2017-03-15
2017-03-12T03:02:00Z,2017-03-12
2017-03-02T17:19:00Z,2017-03-02
2017-03-02T17:15:00Z,2017-03-02
2017-03-01T18:26:00Z,2017-03-01
2017-03-01T18:24:00Z,2017-03-01
2017-03-01T17:01:00Z,2017-03-01
2017-02-27T17:41:00Z,2017-02-27
2017-02-16T12:25:00Z,2017-02-16
2017-02-16T12:24:00Z,2017-02-16
2017-02-08T00:50:00Z,2017-02-08
2017-02-07T19:44:00Z,2017-02-07
2017-02-07T08:37:00Z,2017-02-07
2017-02-07T08:18:00Z,2017-02-07
2017-01-04T09:03:00Z,2017-01-04
2016-12-20T20:03:00Z,2016-12-20
2016-12-13T13:34:00Z,2016-12-13
2016-12-13T13:11:00Z,2016-12-13
2016-12-13T13:09:00Z,2016-12-13
2016-12-13T12:46:00Z,2016-12-13
2016-12-13T12:45:00Z,2016-12-13
2016-11-30T16:13:00Z,2016-11-30
2016-11-22T17:29:00Z,2016-11-22
2016-11-22T15:21:00Z,2016-11-22
2016-11-22T12:21:00Z,2016-11-22
2016-11-21T18:11:00Z,2016-11-21
2016-11-21T17:57:00Z,2016-11-21
2016-11-21T17:23:00Z,2016-11-21
2016-11-21T17:21:00Z,2016-11-21
2016-11-21T15:22:00Z,2016-11-21
2016-11-21T15:21:00Z,2016-11-21
2016-11-21T15:14:00Z,2016-11-21
2016-11-21T15:01:00Z,2016-11-21
2016-11-21T12:46:00Z,2016-11-21
2016-11-18T04:22:00Z,2016-11-18
2016-11-18T04:20:00Z,2016-11-18
2016-11-16T16:01:00Z,2016-11-16
2016-11-16T15:53:00Z,2016-11-16
2016-11-16T15:49:00Z,2016-11-16
2016-11-16T15:47:00Z,2016-11-16
2016-11-14T00:54:00Z,2016-11-14
2016-11-14T00:51:00Z,2016-11-14
2016-11-14T00:50:00Z,2016-11-14
2016-11-10T18:27:00Z,2016-11-10
2016-11-10T14:15:00Z,2016-11-10
2016-11-10T13:48:00Z,2016-11-10
2016-11-10T13:39:00Z,2016-11-10
2016-11-10T13:37:00Z,2016-11-10
2016-11-10T13:35:00Z,2016-11-10
2016-11-10T12:49:00Z,2016-11-10
2016-09-14T14:52:00Z,2016-09-14
2016-08-18T19:23:00Z,2016-08-18
2016-08-01T21:06:00Z,2016-08-01
2016-08-01T21:05:00Z,2016-08-01
2016-07-06T14:41:00Z,2016-07-06
2016-07-06T14:17:00Z,2016-07-06
2016-07-06T14:04:00Z,2016-07-06
2016-06-26T12:08:00Z,2016-06-26
2016-06-24T18:49:00Z,2016-06-24
2016-06-24T18:49:00Z,2016-06-24
2016-06-24T11:36:00Z,2016-06-24
2016-06-24T11:35:00Z,2016-06-24
2016-05-18T10:42:00Z,2016-05-18
2016-05-16T21:50:00Z,2016-05-16
2016-05-16T21:47:00Z,2016-05-16
2016-05-13T06:29:00Z,2016-05-13
2016-05-13T06:29:00Z,2016-05-13
2016-04-25T13:52:00Z,2016-04-25
2016-04-25T13:47:00Z,2016-04-25
2016-03-14T13:41:00Z,2016-03-14
2016-03-14T13:36:00Z,2016-03-14
